TOC (%),Moisture (%),Temp (C),Pres. (MPa),CO2 Excess Sorption (cm3/gr)
2.59,7.53,30,6,0.36
3.220618963,3.28,30,6,0.56
10.16,2.63,30,6,1.85
8.92,4.78,30,6,1.25
3.139123678,4.69,30,6,0.61
3.067920208,5.9,30,6,0.64
1.77,5.61,30,6,0.28
1.67,4.35,30,6,0.61
3.16,5.32,30,6,1.42
3.23,5.36,30,6,0.43
4.28,5.74,30,6,0.68
3.83,5.42,30,6,0.77
7.98,5.64,30,6,1.23
4.18,8.46,30,6,1.42
2.62,4,30,6,0.57
1.68,3.87,30,6,0.48
1.31,3.49,30,6,0.27
3.383004427,2.67,30,6,0.68
0.88,3.86,30,6,0.24
2.04,7.77,30,6,0.34
1.01,4.48,30,6,0.27
3.160395145,2.54,30,6,0.41
1.6,4.98,30,6,0.36
1.68,4.21,30,6,0.58
1.67,2.34,30,6,0.18
1.47,5.08,30,6,0.39
2,3.9,30,6,0.22
2.32,6.66,30,6,0.36
1.92,3.73,30,6,0.38
1.96,3.8,30,6,0.24
1.7,2.61,30,6,0.15
1.57,5.49,30,6,0.33
1.95,6.17,30,6,0.5
1.57,3.88,30,6,0.45
6.7,3.3,38,1.1955,0.3597
6.7,3.3,38,2.7778,0.6309
6.7,3.3,38,4.1843,0.7693
6.7,3.3,38,5.7665,0.9132
6.7,3.3,38,7.7356,1.046
6.7,3.3,38,9.5992,1.1069
6.7,3.3,38,11.6385,1.1511
6.7,3.3,38,13.3966,1.1733
6.7,3.3,38,15.1195,1.1954
6.7,3.3,38,16.737,1.1733
6.7,3.3,38,18.038,1.1733
6.7,3.3,38,19.4444,1.1511
6.7,3.3,38,20.6751,1.1567
6.7,3.3,38,21.8003,1.1511
6.7,3.3,38,22.82,1.1401
6.7,3.3,38,23.6639,1.1622
5.7,2.8,38,0.7564,0.3854
5.7,2.8,38,1.7398,0.6056
5.7,2.8,38,2.9123,0.8022
5.7,2.8,38,4.3117,0.9516
5.7,2.8,38,5.7867,1.0774
5.7,2.8,38,7.4508,1.164
5.7,2.8,38,9.1528,1.2347
5.7,2.8,38,10.8548,1.2741
5.7,2.8,38,12.5946,1.3055
5.7,2.8,38,14.3722,1.3134
5.7,2.8,38,16.0741,1.3291
5.7,2.8,38,17.8139,1.337
5.7,2.8,38,19.3646,1.337
5.7,2.8,38,20.6884,1.337
5.7,2.8,38,21.7095,1.3448
5.7,2.8,38,22.5794,1.3448
1.51,0.6,45,2.4909,0.184163461
1.51,0.6,45,4.2898,0.228590753
1.51,0.6,45,5.8925,0.256564126
1.51,0.6,45,7.623,0.281229252
1.51,0.6,45,9.1423,0.299064949
1.51,0.6,45,10.2711,0.315400868
1.51,0.6,45,11.2711,0.328428804
1.51,0.6,45,12.403,0.338499872
1.51,0.6,45,13.2121,0.343293029
1.51,0.6,45,14.1626,0.344469058
1.51,0.6,45,15.0205,0.366006958
1.51,0.6,45,16.6205,0.363513654
1.51,0.6,45,18.1925,0.35366183
1.51,0.6,45,19.8473,0.341888052
1.51,0.6,45,20.8349,0.320885439
1.51,0.6,45,22.3333,0.296396145
1.51,0.74,45,2.212,0.101782895
1.51,0.74,45,3.924,0.129649949
1.51,0.74,45,5.448,0.152777259
1.51,0.74,45,6.811,0.171065638
1.51,0.74,45,8.039,0.184896129
1.51,0.74,45,9.147,0.195532834
1.51,0.74,45,10.148,0.20669247
1.51,0.74,45,11.054,0.216194384
1.51,0.74,45,11.868,0.22541304
1.51,0.74,45,12.878,0.233441497
1.51,0.74,45,14.604,0.229583271
1.51,0.74,45,15.911,0.234528659
1.51,0.74,45,17.058,0.232987051
1.51,0.74,45,18.048,0.232575433
1.51,0.74,45,19.435,0.235493388
1.51,0.74,45,20.591,0.220073744
1.51,0.74,45,21.565,0.219035698
1.51,0.74,45,22.371,0.217634364
1.51,0.74,45,23.027,0.216227004
1.51,0.74,45,23.558,0.201531154
1.51,0.74,45,23.97,0.210275966
1.51,0.74,45,24.283,0.197376746
1.51,1.59,45,1.781,0.040311015
1.51,1.59,45,3.352,0.065214647
1.51,1.59,45,4.797,0.087724795
1.51,1.59,45,6.423,0.105440901
1.51,1.59,45,8.088,0.117139551
1.51,1.59,45,9.311,0.132872211
1.51,1.59,45,10.408,0.146821973
1.51,1.59,45,11.397,0.151748967
1.51,1.59,45,12.466,0.163148493
1.51,1.59,45,13.245,0.166044591
1.51,1.59,45,14.09,0.178350054
1.51,1.59,45,14.701,0.180170802
1.51,1.59,45,15.245,0.189134586
1.51,1.59,45,14.222,0.172593135
1.51,1.59,45,15.845,0.173994063
1.51,1.59,45,17.305,0.168784874
1.51,1.59,45,18.541,0.180699906
1.51,1.59,45,19.887,0.172173578
1.51,1.59,45,20.91,0.164294245
1.51,1.59,45,21.718,0.149676357
3.98,0.25,45,1.366,0.60139761
3.98,0.25,45,3.103,0.609058656
3.98,0.25,45,4.697,0.659296007
3.98,0.25,45,6.157,0.695898141
3.98,0.25,45,7.494,0.717286138
3.98,0.25,45,8.723,0.730229756
3.98,0.25,45,9.855,0.741025411
